Qu'est-ce qu'un mythe ?,"Un mythe est un récit mettant en scène des personnages imaginaires (Dieux, Demis-dieux, héros…), qui a pour but d’expliquer des phénomènes naturels et humains."
Qu'est-ce qu'une cosmogonie ?,Une explication de la formation du monde.
Qu'est-ce qu'une théogonie ?,Une explication de la formation des Dieux.
Qui sont les premiers philosophes ?,"Les phisiologues, qui créent leurs discours à partir de la nature."
Grâce à quoi les sophistents appaîssent-ils ?,Grâce au dévellopement de la démocratie et donc l'importance du débat oral.
Quels sont les deux arts oraux que métrisent les sophistes ?,L’art de la persuasion et l’éristique : l’art de la controverse.
Quels sont les deux philosophes grecs sont la pensée à servie de base à la philosophie occidentale ?,Socrate et Platon
De quoi Platon accuse t'il les sophistes ?,De sciement déformer la réalité.
Qu'est-ce que la maïeutique ?,"L’art de faire accoucher les esprits, la réminiscence (les interlocuteurs se rappelent par eux-même la vérité qui étaient enfuie en eux) par le dialogue."
Quels sont les deux choses que Platon oppose ?,La vérité et l'opinion
Qu'est-ce que le syllogisme ?,Un prémisse majeur et mineur mène à une conclusion (Tous les Hommes sont mortels (prémisse majeur) + Socrate est un Homme (prémisse mineure) → Socrate est mortel).
Quels sont les deux mondes que Platon distingue ?,"a) Le monde sensible : monde des apparences → Images (imagination) et sensations (sens primaires)
b) Le monde intelligible : monde de Idées, de la vraie réalité → Idées-formes (phylosophie) et nombres-figures (mathématiques)"
Quelles sont les deux dialectique misent en place par l'allégorie de la carverne ?,"a) Assendante : du sensible à l’intelligible (sortir de la caverne → remettre en question ses perceptions)
b) Dessendante : de l’intelligible au sensible (retourner dans le caverne pour aider les autres → éduquer les autres)"
Quelles sont les deux formes de sagesse ?,"a) Sagesse théorique → savoir
b) Sagesse pratique → savoir-vivre"
Comment les deux formes de sagesses sont-elles liées ?,La sagesse pratique se fonde dans la sagesse théorique mais elle ne peux pas exister si elle n’est pas appliquée → sagesse pratique.
Quel est le point commun de la vision du bonheur des philosphes antiques ?,Il faut luter contre la démesure (hybris) et suivre des règles dictées par la raison.
A quoi est lié le bonheur ?,A la vertu : la force morale avec laquelle l'être humain tend au bien.
A quoi est liée la vertu ?,Au savoir et à la connaissance de soi et des choses.
Que représente la Cité dans le monde ancien ?,La connexion de l’éthique et de la politique.
Quelle est la pensée principale des philosphies héllénistiques ?,Il faudrait séparer l’éthique et la politique. La Cité n’est pas le lieu idéal de la réalisation de soi.
Quelles sont les causes de la mise en retrait de la philosphie au Moyen-Age ?,L'essor du christianisme et la chutte de l'Emprire Romain.
Le néo-platonisme est la synthèse de quelles pensées ?,De la pensée de Platon et du christianisme. 
Comment la philosophie réaparait-elle à partir du XIe siècle ?,Elle réapparait en se mettant au service de la théologie. Il y a une collaboration unilatérale entre la raison et la foi : comment la raison peut aider la foi. 
"Selon Anselme, comment la raison renforce t-elle la foi ?","La raison renforce la foi en proposant une démonstration rationnelle de Dieu (argument supplémentaire pour y croire). Si Dieu est pensable, et il l’est, alors Dieu existe."
Quelles sont les deux avancées qui provienne de la nouvelle vision du bonheur des Médiévaux par raport aux Anciens ?,"a) Naissance de l’individu au sens moderne du terme.
b) Importance de la notion de liberté."
Quels sont les deux types de pouvoir au Moyen-Age ?,"a) Le pouvoir temporel (le pouvoir politique, l’Etat)
b). Le pouvoir spirituel (l’Eglise)"
